X1,X2,Y
0,54,1
41,31,1
95,51,0
28,76,1
97,17,0
49,96,1
51,21,0
71,85,0
66,49,0
68,53,0
64,18,0
40,75,1
69,25,0
48,75,1
87,9,0
38,87,1
13,84,1
89,70,0
13,84,1
13,32,1
73,13,0
4,83,1
5,29,1
91,60,0
92,31,0
77,75,0
74,67,0
87,86,0
65,44,0
78,46,0
56,97,0
26,84,1
64,7,0
62,35,0
14,18,1
24,75,1
84,93,0
97,30,0
24,10,1
11,24,1
20,70,1
63,37,0
6,41,1
44,40,1
26,86,1
89,3,0
68,71,0
79,91,0
60,92,0
21,25,1
32,8,1
92,38,0
64,53,0
40,33,1
29,14,1
9,71,1
9,99,1
80,33,0
53,53,0
8,3,1
82,37,0
58,84,0
12,8,1
5,46,1
100,98,0
6,80,1
71,40,0
58,73,0
79,54,0
38,60,1
29,87,1
77,46,0
25,52,1
61,85,0
72,48,0
18,44,1
80,17,0
69,96,0
52,89,0
9,95,1
65,63,0
76,36,0
15,12,1
52,33,0
9,63,1
17,1,1
6,55,1
99,73,0
27,75,1
72,98,0
11,22,1
95,62,0
61,30,0
89,2,0
11,93,1
49,76,1
58,4,0
46,51,1
16,54,1
54,95,0
